t,s20-mean-lb,s20-ep-lb,s20-mean-ub,s20-ep-ub,s20-opt,s40-mean-lb,s40-ep-lb,s40-mean-ub,s40-ep-ub,s40-opt,s60-mean-lb,s60-ep-lb,s60-mean-ub,s60-ep-ub,s60-opt,s80-mean-lb,s80-ep-lb,s80-mean-ub,s80-ep-ub,s80-opt,s100-mean-lb,s100-ep-lb,s100-mean-ub,s100-ep-ub,s100-opt,lb-gap20,ub-gap20,lb-gap40,ub-gap40,lb-gap60,ub-gap60,lb-gap80,ub-gap80,lb-gap100,ub-gap100
75,2798.89,17.1099,2822.94,12.4947,53.652,2805.56,15.7958,2818.97,12.8019,42.0107,2807.96,14.9602,2815.97,11.7898,34.7614,2804.95,14.0328,2817.59,12.9038,39.5695,2804.02,8.74332,2813.24,14.3976,32.3624,0.611310198,0.44261302,0.563017722,0.454133957,0.532778245,0.418676335,0.500286993,0.457972949,0.311813753,0.511780012
75,2790.36,18.8512,2813.69,11.5333,53.7173,2788.57,14.3265,2805.25,10.7066,41.7158,2794.77,14.1872,2803.67,11.6055,34.6939,2797,11.3381,2802.93,11.0124,28.2878,2799.35,7.65945,2802.87,11.3186,22.4933,0.675583079,0.409899456,0.513757948,0.381662953,0.507633902,0.413939586,0.405366464,0.39288887,0.273615304,0.403821797
100,3719.93,18.4874,3777.19,9.44554,85.1937,3735.54,14.1662,3760.68,9.45867,48.7674,3732.35,10.1665,3759.3,9.36447,46.4795,3729.67,11.5178,3751.23,9.97834,43.0526,3731.67,10.8577,3751.63,8.93611,39.7577,0.49698247,0.250067908,0.379227635,0.251514886,0.27238871,0.249101428,0.308815525,0.266001818,0.290960883,0.238192732
100,3710.7,24.9022,3752.38,10.7818,77.3673,3708.95,23.0128,3746.04,10.9399,71.0481,3712.66,9.53491,3737,12.0507,45.9235,3714.35,14.837,3738.81,10.8239,50.1212,3713.98,7.4368,3726.98,11.3629,31.8011,0.671091708,0.287332306,0.620466709,0.29203906,0.256821524,0.322469896,0.399450779,0.289501205,0.20023802,0.304882237
100,3695.67,24.2166,3752.83,11.915,93.301,3711.31,17.1775,3737.14,13.5422,56.553,3702.02,15.8869,3730.69,12.1795,56.7359,3709.17,14.2426,3730.91,13.3415,49.3177,3708.44,14.2134,3726.66,11.8817,44.3187,0.655269545,0.317493731,0.462841961,0.362368014,0.429141388,0.326467758,0.383983479,0.357593724,0.383271672,0.31882973
100,3610.18,27.9315,3672.72,4.29956,94.7757,3623.37,15.986,3661.09,3.03482,56.7388,3630.47,12.9567,3647.9,5.56472,35.9577,3637.73,14.1243,3645.47,5.38163,27.2421,3635.3,10.1603,3644.13,3.66004,22.657,0.773687185,0.11706746,0.441191487,0.082893892,0.356887676,0.152545848,0.388272357,0.147625135,0.279490001,0.100436593
100,3668.38,26.346,3704.07,15.8175,77.8498,3667.89,16.2423,3707.08,14.8654,70.2962,3669.04,10.6964,3696.64,15.845,54.1348,3672.07,11.6837,3693.11,15.8323,48.5604,3674.99,7.85777,3692.53,15.5872,40.9882,0.718191681,0.427030267,0.442824076,0.401000248,0.2915313,0.428632488,0.318177486,0.428698306,0.213817453,0.422127918
100,3665.46,26.0523,3698.48,9.19137,68.263,3668.85,15.8735,3690.25,11.6826,48.9554,3670.35,12.8729,3693.65,11.9302,48.1086,3675.93,12.0528,3690.32,11.6299,38.0693,3674.93,11.7513,3684.59,11.8942,33.3097,0.710751174,0.248517499,0.432656009,0.316580177,0.35072677,0.322992162,0.327884372,0.315146112,0.319769356,0.322809322
100,3642.97,29.2453,3697.44,18.3147,102.027,3656.14,22.0964,3685.99,17.7387,69.6879,3654.56,18.451,3673.28,17.3051,54.4837,3658.15,11.1888,3676.08,17.4398,46.5572,3658.99,12.8832,3672.09,15.3021,41.2943,0.802787286,0.49533461,0.604364165,0.481246558,0.5048761,0.471107566,0.305859519,0.474412962,0.352097163,0.416713643
100,3633.96,17.4874,3721.41,11.4519,116.389,3657.66,14.0119,3696.39,14.7031,67.4427,3664.33,13.2335,3702.46,11.9658,63.3304,3665.01,12.771,3703.63,12.3701,63.7556,3672.72,15.2056,3694.95,14.6119,52.049,0.481221587,0.307730135,0.38308372,0.397769175,0.361143783,0.323185126,0.348457439,0.333999347,0.414014681,0.39545596
100,3613.72,33.5619,3668.17,10.5784,98.5873,3623.67,22.8692,3661.9,10.7854,71.8889,3623.98,19.8316,3654.16,8.80137,58.8172,3629.75,10.8792,3656.06,8.81591,46.0081,3631.09,8.94545,3650.51,9.40694,37.7729,0.928735486,0.288383581,0.631106033,0.294530162,0.547232601,0.240858911,0.299723121,0.241131437,0.246357154,0.257688378
100,3635.82,38.511,3692.16,11.0325,105.876,3648.99,20.738,3680.88,12.6466,65.2715,3648.75,15.0555,3676.66,11.6517,54.6192,3656.48,12.2206,3674.16,12.0604,41.9616,3657.99,11.5001,3671.11,13.3405,37.962,1.059210852,0.298808827,0.568321645,0.343575449,0.412620761,0.316909913,0.334217608,0.328249178,0.314383035,0.363391454
